business:start-org:place	Business.Start_Place
business:start-org:org	Business.Start_Organization
business:start-org:time	Business.Start_Time
business:start-org:agent	Business.Start_Agent
business:end-org:place	Business.End_Place
business:end-org:org	Business.End_Organization
business:end-org:time	Business.End_Time
business:merge-org:place	Business.Merge_Place
business:merge-org:time	Business.Merge_Time
business:merge-org:org	Business.Merge_Organization
business:declare-bankruptcy:org	Business.DeclareBankruptcy_Organization
business:declare-bankruptcy:place	Business.DeclareBankruptcy_Place
business:declare-bankruptcy:time	Business.DeclareBankruptcy_Time
conflict:attack:attacker	Conflict.Attack_Attacker
conflict:attack:agent	Conflict.Attack_Attacker
conflict:attack:instrument	Conflict.Attack_Instrument
conflict:attack:place	Conflict.Attack_Place
conflict:attack:target	Conflict.Attack_Target
conflict:attack:victim	Conflict.Attack_Target
conflict:attack:time	Conflict.Attack_Time
conflict:demonstrate:entity	Conflict.Demonstrate_Demonstrator
conflict:demonstrate:place	Conflict.Demonstrate_Place
conflict:demonstrate:time	Conflict.Demonstrate_Time
contact:correspondence:entity	Contact.Correspondence_Participant
contact:correspondence:place	Contact.Correspondence_Place
contact:correspondence:time	Contact.Correspondence_Time
contact:phone-write:entity	Contact.Correspondence_Participant
contact:phone-write:place	Contact.Correspondence_Place
contact:phone-write:time	Contact.Correspondence_Time
contact:meet:entity	Contact.Meet_Participant
contact:meet:place	Contact.Meet_Place
contact:meet:time	Contact.Meet_Time
justice:acquit:defendant	Justice.Acquit_Defendant
justice:acquit:adjudicator	Justice.Acquit_Adjudicator
justice:acquit:crime	Justice.Acquit_Crime
justice:acquit:time	Justice.Acquit_Time
justice:acquit:place	Justice.Acquit_Place
justice:appeal:place	Justice.Appeal_Place
justice:appeal:plaintiff	Justice.Appeal_Prosecutor
justice:appeal:adjudicator	Justice.Appeal_Adjudicator
justice:appeal:crime	Justice.Appeal_Crime
justice:appeal:defendant	Justice.Appeal_Defendant
justice:appeal:time	Justice.Appeal_Time
justice:arrest-jail:agent	Justice.ArrestJail_Agent
justice:arrest-jail:person	Justice.ArrestJail_Person
justice:arrest-jail:place	Justice.ArrestJail_Place
justice:arrest-jail:crime	Justice.ArrestJail_Crime
justice:arrest-jail:time	Justice.ArrestJail_Time
justice:charge-indict:adjudicator	Justice.ChargeIndict_Adjudicator
justice:charge-indict:defendant	Justice.ChargeIndict_Defendant
justice:charge-indict:place	Justice.ChargeIndict_Place
justice:charge-indict:prosecutor	Justice.ChargeIndict_Prosecutor
justice:charge-indict:crime	Justice.ChargeIndict_Crime
justice:charge-indict:time	Justice.ChargeIndict_Time
justice:convict:adjudicator	Justice.Convict_Adjudicator
justice:convict:defendant	Justice.Convict_Defendant
justice:convict:place	Justice.Convict_Place
justice:convict:crime	Justice.Convict_Crime
justice:convict:time	Justice.Convict_Time
justice:execute:agent	Justice.Execute_Agent
justice:execute:place	Justice.Execute_Place
justice:execute:person	Justice.Execute_Person
justice:execute:crime	Justice.Execute_Crime
justice:execute:time	Justice.Execute_Time
justice:extradite:agent	Justice.Extradite_Agent
justice:extradite:origin	Justice.Extradite_Origin
justice:extradite:destination	Justice.Extradite_Destination
justice:extradite:crime	Justice.Extradite_Crime
justice:extradite:person	Justice.Extradite_Person
justice:extradite:time	Justice.Extradite_Time
justice:fine:entity	Justice.Fine_Defendant
justice:fine:adjudicator	Justice.Fine_Adjudicator
justice:fine:place	Justice.Fine_Place
justice:fine:crime	Justice.Fine_Crime
justice:fine:money	Justice.Fine_Money
justice:fine:time	Justice.Fine_Time
justice:pardon:place	Justice.Pardon_Place
justice:pardon:adjudicator	Justice.Pardon_Adjudicator
justice:pardon:defendant	Justice.Pardon_Defendant
justice:pardon:time	Justice.Pardon_Time
justice:release-parole:entity	Justice.ReleaseParole_Agent
justice:release-parole:person	Justice.ReleaseParole_Person
justice:release-parole:crime	Justice.ReleaseParole_Crime
justice:release-parole:place	Justice.ReleaseParole_Place
justice:release-parole:time	Justice.ReleaseParole_Time
justice:sentence:adjudicator	Justice.Sentence_Adjudicator
justice:sentence:defendant	Justice.Sentence_Defendant
justice:sentence:place	Justice.Sentence_Place
justice:sentence:crime	Justice.Sentence_Crime
justice:sentence:sentence	Justice.Sentence_Sentence
justice:sentence:time	Justice.Sentence_Time
justice:sue:defendant	Justice.Sue_Defendant
justice:sue:place	Justice.Sue_Place
justice:sue:plaintiff	Justice.Sue_Plaintiff
justice:sue:adjudicator	Justice.Sue_Adjudicator
justice:sue:crime	Justice.Sue_Crime
justice:sue:time	Justice.Sue_Time
justice:trial-hearing:adjudicator	Justice.TrialHearing_Adjudicator
justice:trial-hearing:defendant	Justice.TrialHearing_Defendant
justice:trial-hearing:place	Justice.TrialHearing_Place
justice:trial-hearing:prosecutor	Justice.TrialHearing_Prosecutor
justice:trial-hearing:crime	Justice.TrialHearing_Crime
justice:trial-hearing:time	Justice.TrialHearing_Time
life:be-born:person	Life.BeBorn_Person
life:be-born:place	Life.BeBorn_Place
life:be-born:time	Life.BeBorn_Time
life:die:agent	Life.Die_Agent
life:die:place	Life.Die_Place
life:die:victim	Life.Die_Victim
life:die:instrument	Life.Die_Instrument
life:die:person	Life.Die_Victim
life:die:time	Life.Die_Time
life:divorce:place	Life.Divorce_Place
life:divorce:person	Life.Divorce_Person
life:divorce:time	Life.Divorce_Time
life:injure:agent	Life.Injure_Agent
life:injure:instrument	Life.Injure_Instrument
life:injure:place	Life.Injure_Place
life:injure:victim	Life.Injure_Victim
life:injure:time	Life.Injure_Time
life:marry:person	Life.Marry_Person
life:marry:place	Life.Marry_Place
life:marry:time	Life.Marry_Time
movement:transport-artifact:agent	Movement.TransportArtifact_Agent
movement:transport-artifact:artifact	Movement.TransportArtifact_Artifact
movement:transport-artifact:destination	Movement.TransportArtifact_Destination
movement:transport-artifact:origin	Movement.TransportArtifact_Origin
movement:transport-artifact:vehicle	Movement.TransportArtifact_Instrument
movement:transport:agent	Movement.TransportArtifact_Agent
movement:transport:artifact	Movement.TransportArtifact_Artifact
movement:transport:destination	Movement.TransportArtifact_Destination
movement:transport:origin	Movement.TransportArtifact_Origin
movement:transport:place	Movement.TransportArtifact_Origin
movement:transport:vehicle	Movement.TransportArtifact_Instrument
movement:transport-person:agent	Movement.TransportPerson_Agent
movement:transport-person:destination	Movement.TransportPerson_Destination
movement:transport-person:origin	Movement.TransportPerson_Origin
movement:transport-person:person	Movement.TransportPerson_Person
personnel:elect:entity	Personnel.Elect_Elector
personnel:elect:person	Personnel.Elect_Elect
personnel:elect:place	Personnel.Elect_Place
personnel:elect:time	Personnel.Elect_Time
personnel:end-position:entity	Personnel.EndPosition_Organization
personnel:end-position:person	Personnel.EndPosition_Person
personnel:end-position:place	Personnel.EndPosition_Place
personnel:end-position:time	Personnel.EndPosition_Time
personnel:nominate:agent	Personnel.Nominate_Nominator
personnel:nominate:person	Personnel.Nominate_Nominee
personnel:nominate:place	Personnel.Nominate_Place
personnel:nominate:time	Personnel.Nominate_Time
personnel:start-position:entity	Personnel.StartPosition_Organization
personnel:start-position:person	Personnel.StartPosition_Person
personnel:start-position:place	Personnel.StartPosition_Place
personnel:start-position:time	Personnel.StartPosition_Time
transaction:transfer-money:giver	Transaction.TransferMoney_Giver
transaction:transfer-money:recipient	Transaction.TransferMoney_Recipient
transaction:transfer-money:place	Transaction.TransferMoney_Place
transaction:transfer-money:beneficiary	Transaction.TransferMoney_Beneficiary
transaction:transfer-money:money	Transaction.TransferMoney_Money
transaction:transfer-money:time	Transaction.TransferMoney_Time
transaction:transfer-ownership:artifact	Transaction.TransferOwnership_Thing
transaction:transfer-ownership:buyer	Transaction.TransferOwnership_Recipient
transaction:transfer-ownership:place	Transaction.TransferOwnership_Place
transaction:transfer-ownership:seller	Transaction.TransferOwnership_Giver
transaction:transfer-ownership:beneficiary	Transaction.TransferOwnership_Beneficiary
transaction:transfer-ownership:time	Transaction.TransferOwnership_Time